"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1786102656429351224","Thu May 02 18:37:12 +0000 2024","0","siap siap diunyeng-unyeng kuch shin tae yong nct lu ceng","1786102656429351224","","","in","hiding in my closet","0","0","0","https://twitter.com/_iwitikirp/status/1786102656429351224","1209770867464359936","_iwitikirp"
"1786101966537650408","Thu May 02 18:34:27 +0000 2024","0","7.intinya @TimnasIndonesia #shintaeyong @PSSI @erickthohir hrs segera berbenah serius jika ingin prestasi jgn lambat mengevaluasi sehingga kembali ke masa lalu.","1786101966537650408","","","in","Indonesia","0","0","0","https://twitter.com/BustoniFikri4/status/1786101966537650408","1081271199341076481","BustoniFikri4"
"1786101001105334404","Thu May 02 18:32:43 +0000 2024","0","@cursedkidd km cocok jadi yang jaga shin tae yong","1786101528568422853","","cursedkidd","in","berlabel halal","0","1","0","https://twitter.com/nuggetzicy/status/1786101528568422853","2757620055","nuggetzicy"
"1786101421139714321","Thu May 02 18:32:17 +0000 2024","0","6.hrs ada perubahan skuad dan perubahan formasi jika #shintaeyong tdk mengevaluasi ini akan terjadi juga pada @TimnasIndonesia senior.@erickthohir @PSSI","1786101421139714321","","","in","Indonesia","0","0","0","https://twitter.com/BustoniFikri4/status/1786101421139714321","1081271199341076481","BustoniFikri4"
"1785989770138775962","Thu May 02 18:32:12 +0000 2024","1","@SiaranBolaLive Dikasih Messi garnacho milih nya mbappe Theo hernandez Messi lebih ke alien ketimbang kura2..","1786101400713453739","","SiaranBolaLive","in","England","0","0","0","https://twitter.com/Airoxdinamis/status/1786101400713453739","1455649651437174785","Airoxdinamis"
"1786101300092101047","Thu May 02 18:31:48 +0000 2024","3","Terimakasih TimNas Garuda Muda Coach Shin Tae Yong Pa Erick Pssi Semifinal adalah pencapaian terbaik selama ini!!! Selamat berjuang di PlayOff olimpiade Paris 2024! ️️️ Sumpah masih g nyangka bisa sampe SF secara berada di grup neraka Mana QF lawan Korea ","1786101300092101047","","","in","","0","0","0","https://twitter.com/NKA_10/status/1786101300092101047","615768994","NKA_10"
"1786098886341513630","Thu May 02 18:22:13 +0000 2024","2","Shin tae yong PR lu banyak banget nih. Jangan takut obrak abrik formasi lah. Ini kita bukan main di asean tapi udah sekelas asia dan afrika. Kalau lu tetep pake pemain yg sama kayak kemarin lawan udah bisa baca serangan kita. Apalagi nanti hubner gak bisa main.","1786098886341513630","","","in","Asgard","0","6","0","https://twitter.com/wisteriayoung/status/1786098886341513630","3432569052","wisteriayoung"
"1786092774816899087","Thu May 02 18:20:59 +0000 2024","0","@idextratime kekalahan ini murni kesalahan shin tae yong marselino ga perform di pertahanin sampai mati kocak.","1786098578538258550","","idextratime","in","","0","0","0","https://twitter.com/manusiasibuk416/status/1786098578538258550","1625337165755584515","manusiasibuk416"
"1786058181153820944","Thu May 02 18:19:22 +0000 2024","0","@ruangtaktik Egoisnya doang yg konsisten","1786098171929846000","","ruangtaktik","in","https://mycollection.shop/txtd","0","0","0","https://twitter.com/shintaeyong7777/status/1786098171929846000","1095029456350007296","shintaeyong7777"
"1786097757717225496","Thu May 02 18:17:44 +0000 2024","0","apakah shin tae yong akan ngomong shibal saekkiya part 2?","1786097757717225496","","","in","knowhere","0","0","0","https://twitter.com/chocolaisra/status/1786097757717225496","1687515667954814977","chocolaisra"
"1786097732211597374","Thu May 02 18:17:38 +0000 2024","0","Wkwk kasian shin tae yong anjir","1786097732211597374","","","in","Semarang, Jawa Tengah","0","0","0","https://twitter.com/baguswisnu30/status/1786097732211597374","721680667","baguswisnu30"
"1786097593166225732","Thu May 02 18:17:04 +0000 2024","0","Ya kali ini shin tae yong emg tolol juga ngapain naro nathan dibelakang","1786097593166225732","","","in","Jakarta","0","0","0","https://twitter.com/jeri_17/status/1786097593166225732","1316661084","jeri_17"
"1786097513382174978","Thu May 02 18:16:45 +0000 2024","0","Shin tae yong pilih group Olympiade Paris ini mah #TimnasDay ","1786097513382174978","","","in","","0","0","0","https://twitter.com/gravityy24/status/1786097513382174978","1527110913815629825","gravityy24"
"1786097289880367188","Thu May 02 18:15:52 +0000 2024","2","terimakasih buat shin tae yong dan seluruh staff🇮🇩🇮🇩 #TimnasDay #IndonesiaU23","1786097289880367188","","","in","","0","0","0","https://twitter.com/Dam_Chim48/status/1786097289880367188","1760164220170317824","Dam_Chim48"
"1786096432459694541","Thu May 02 18:12:28 +0000 2024","3","3 menit sebelum diomelin shin tae yong #TimnasDay","1786096432459694541","","","in","","0","0","2","https://twitter.com/nappeuneomma/status/1786096432459694541","1709342304514002944","nappeuneomma"
"1786096147704209409","Thu May 02 18:11:20 +0000 2024","1","Marselino Ferdinand ini pemain kesayangannya Coach Shin Tae Yong ya ? Mainmu sangat egois lino !!! @marcengggg Indonesia vs Irak #TimnasDay #TimnasIndonesia #TimnasU23 #AFCU23 #AFCU23AsianCup #Timnas #TimnasIndonesiaU23 #AsianCupU23 #Marselino #MarselinoFerdinan https://t.co/PoAbTnUEBo","1786096147704209409","https://pbs.twimg.com/media/GMl8-v8aYAEl0MP.jpg","","in","Bandung, Indonesia","0","0","0","https://twitter.com/fiqryfauzian17_/status/1786096147704209409","1526069346715324417","fiqryfauzian17_"
"1786095932217647296","Thu May 02 18:10:28 +0000 2024","0","Lu oper siapa pajarrrr","1786095932217647296","","","in","https://mycollection.shop/txtd","0","1","0","https://twitter.com/shintaeyong7777/status/1786095932217647296","1095029456350007296","shintaeyong7777"
"1786095813149745487","Thu May 02 18:10:00 +0000 2024","1","plis coach shin tae yong jangan-jangan solusi kebuntuan timnas kali ini adalah HOKKY CARAKA","1786095813149745487","","","in","Surabaya","0","0","0","https://twitter.com/antartlka/status/1786095813149745487","488937011","antartlka"
"1786094452916036089","Thu May 02 18:05:49 +0000 2024","0","@idextratime Shin tae yong ngapa gamau ganti pemain lagi si astagaaaa","1786094762103325110","","idextratime","in","Bekasi Timur, Indonesia","0","0","0","https://twitter.com/bukanketuart/status/1786094762103325110","1520262513627394049","bukanketuart"
"1786094644289499287","Thu May 02 18:05:21 +0000 2024","0","besok2 langsung targetnya final aja ya coach @.shintaeyong biar kita beneran sampe final dan juara ","1786094644289499287","","","in","
","0","0","0","https://twitter.com/homtawn/status/1786094644289499287","2346162084","homtawn"
"1786094441272688661","Thu May 02 18:04:33 +0000 2024","0","lino abis ini disidang plis @ shin tae yong ","1786094441272688661","","","in","","0","0","0","https://twitter.com/milkmatchaberry/status/1786094441272688661","1334834833","milkmatchaberry"
"1786094370715746725","Thu May 02 18:04:16 +0000 2024","0","Shin Tae Yong terlalu nyaman sama Marselino kenapa gak dipukul aja si bocah itu biar mikir.","1786094370715746725","","","in","Bekasi, Jawa Barat","0","0","0","https://twitter.com/kickedreal/status/1786094370715746725","236767709","kickedreal"
"1786094070508707925","Thu May 02 18:03:05 +0000 2024","5","Marselino emang egois banget dengan segala skandalnya emang terbukti pbelum profesional dan shin tae yong mainin dia 3 match terakhir tidak diganti- ganti padahal buang peluang banyak banget. #TimnasDay #IndonesiaU23","1786094070508707925","","","in","Situbondo.","0","0","4","https://twitter.com/Embut_kek/status/1786094070508707925","1333182553","Embut_kek"
"1786093876819996857","Thu May 02 18:02:18 +0000 2024","1","gue kalo jadi shin tae yong abis match marselino abis anj gue tatar main sendiri aja lu di lapangan komplek","1786093876819996857","","","in","","0","0","0","https://twitter.com/driedmascara/status/1786093876819996857","1621669857396940800","driedmascara"
